"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 28, 2018",Missouri,"Saint Louis","8001 Galleria Parkway",0,1,N/A
"December 28, 2018",Louisiana,Shreveport,"800 block of Pine Tree Ave",0,1,N/A
"December 28, 2018","West Virginia","Clarksburg (Laurel Valley)","Oak St",0,1,N/A
"December 28, 2018",Ohio,Cincinnati,"900 block of Burton Ave",0,1,N/A
"December 26, 2018",Florida,Jacksonville,"Grunthal St",0,1,N/A
"December 26, 2018",Arkansas,Jonesboro,N/A,0,1,N/A
"December 26, 2018",Florida,Pahokee,"300 block of Shirley Dr",0,1,N/A
"December 25, 2018",California,Stockton,"1300 block of Summerview Dr",0,1,N/A
"December 25, 2018",Ohio,Montpelier,"11257 Co Rd I",0,1,N/A
"December 25, 2018",Pennsylvania,Mars,"400 block of Conrad Dr",0,1,N/A
"December 25, 2018",Delaware,Lincoln,"19000 block of Pine St",0,2,N/A
"December 25, 2018",Michigan,Concord,"Allman Rd",0,1,N/A
"December 24, 2018",California,Brea,"Brea Blvd and Imperial Hwy",0,1,N/A
"December 24, 2018",Washington,Zillah,N/A,0,1,N/A
"December 24, 2018",Kansas,Lawrence,"4000 block of Vintage Ct",0,1,N/A
"December 24, 2018",Missouri,"Saint Charles","2900 block of Diecamp Farm Trail",0,1,N/A
"December 24, 2018","New York",Brooklyn,"E 12th St and Gravesend Neck Rd",0,1,N/A
"December 24, 2018",Massachusetts,Boston,"2 Garfield Ave",0,1,N/A
"December 23, 2018",Maryland,"Princess Anne","11000 block of Bratten Ave",0,1,N/A
"December 23, 2018",Illinois,Chicago,"9700 block of S Michigan Ave",0,1,N/A
"December 23, 2018",Georgia,Decatur,"3900 Block of Fireoak Dr",0,2,N/A
"December 23, 2018",Ohio,Ravenna,"2500 OH-59",0,1,N/A
"December 22, 2018",Pennsylvania,Reading,"200 block of North 6th St",0,1,N/A
"December 22, 2018",Virginia,Suffolk,"7300 block of Harvest Dr",0,1,N/A
"December 22, 2018",Arkansas,Jonesboro,"3900 block of Griffin St",0,1,N/A
"December 22, 2018",Michigan,Detroit,"11001 Chalmers St",0,1,N/A
"December 22, 2018",Minnesota,Lamberton,"140th St and Jade Ave",0,1,N/A
"December 19, 2018","South Carolina",Columbia,"831 Harden Street",0,1,N/A
"December 19, 2018",Wisconsin,"Coon Valley","705 Central Ave",0,2,N/A
"December 18, 2018",Alabama,Dothan,"2109 Ross Clark Cir",0,1,N/A
"December 17, 2018",Nebraska,Omaha,"11902 S 150th St",0,1,N/A
"December 15, 2018",Maryland,Brandywine,"12700 block of Martin Rd",0,2,N/A
"December 15, 2018",California,"San Leandro","15555 E 14th St suite 366",0,1,N/A
"December 15, 2018","South Carolina",Pelzer,"Quail Ln and Joe Black Rd",0,1,N/A
"December 14, 2018",Tennessee,Memphis,"3361 Steve Rd",0,1,N/A
"December 13, 2018",Kentucky,London,"4700 block of Rough Creek Rd",0,1,N/A
"December 13, 2018","New York",Brooklyn,"2860 W 23rd St",0,1,N/A
"December 13, 2018",Louisiana,"Baton Rouge","650 N Ardenwood Dr",0,1,N/A
"December 12, 2018",Mississippi,"De Kalb","100 block of John C Stennis Ave",0,2,N/A
"December 12, 2018",Maryland,Salisbury,"200 block of Marshall St",0,1,N/A
"December 12, 2018",Michigan,"Battle Creek","Meachem Ave and W Rittenhouse Ave",0,1,N/A
"December 11, 2018",Oklahoma,Tulsa,N/A,0,1,N/A
"December 10, 2018",Missouri,"Saint Louis","6700 block of Schofield Ave",0,2,N/A
"December 10, 2018",Texas,Belton,"1300 block of Fairway Dr",0,1,N/A
"December 10, 2018",Tennessee,Nashville,"449 Cedarcliff Rd",1,1,N/A
"December 9, 2018",Arkansas,"Fort Smith","4400 block of Clarendon St",0,1,N/A
"December 9, 2018",Iowa,Macksburg,N/A,0,1,N/A
"December 8, 2018",Kentucky,Hopkinsville,"Middle St",0,1,N/A
"December 8, 2018",Oklahoma,Tulsa,"1614 East Young St",0,1,N/A
"December 8, 2018",Connecticut,Hartford,"15 E Elliott St",0,1,N/A
"December 8, 2018",Maine,Lewiston,"25 Sabattus St",0,1,N/A
"December 8, 2018","New Mexico",Gallup,"915 Rte 66",0,1,N/A
"December 7, 2018","New Mexico","Rio Rancho","23rd Ave",0,1,N/A
"December 7, 2018","New York",Bayville,N/A,0,1,N/A
"December 6, 2018",Illinois,Chicago,"7400 block of S Langley Ave",0,1,N/A
