"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 26, 2018",Mississippi,Goodman,"91 Cedar Grove Dr",1,0,N/A
"December 26, 2018",Florida,"Lake City","200 block of SE Anastasia St",1,0,N/A
"December 23, 2018",Florida,"Saint Petersburg","Central Ave and 58th St",1,0,N/A
"December 15, 2018",Texas,Houston,"13000 block of Duncum St",1,0,N/A
"December 14, 2018",Missouri,Florissant,"13 Holly Ln",1,0,N/A
"December 9, 2018",Oklahoma,Tulsa,"1130 E 23rd St",1,0,N/A
"December 8, 2018",Pennsylvania,"New Castle","400 block of N Liberty St",1,0,N/A
"December 4, 2018",Texas,Dallas,"1800 block of Bickers St",1,0,N/A
"November 30, 2018",Washington,Edmonds,"7400 block of 208th St SW",1,0,N/A
"November 28, 2018",Ohio,Akron,"262 Grand Ave",1,1,N/A
"November 18, 2018","North Carolina","Winston Salem (Winston-salem)","5013 Eltha Dr",1,0,N/A
"November 17, 2018",Texas,"Roanoke (Northlake)","1400 block of Tumbleweed Tr",1,0,N/A
"November 16, 2018",Michigan,"Mass City",N/A,1,0,N/A
"November 14, 2018",Arizona,Phoenix,"1510 S 19th Dr",1,0,N/A
"November 13, 2018",Louisiana,Jackson,"2800 block of Charles Drive",1,0,N/A
"November 12, 2018",Illinois,Decatur,"1100 block of N Main St",1,0,N/A
"November 2, 2018",Louisiana,Ragley,"Topsy Bel Rd",1,0,N/A
"October 18, 2018",Alabama,Huntsville,"102 Winchester Rd",1,0,N/A
"October 10, 2018","North Carolina",Fayetteville,"1000 block of Wood Creek Dr",1,0,N/A
"October 7, 2018",Texas,Dallas,"4849 Haverwood Ln",1,0,N/A
"September 30, 2018",Texas,"Humble (Atascocita)","6700 block of Atasca Dr",1,0,N/A
"September 23, 2018",Utah,"Rich (county)",N/A,1,0,N/A
"September 1, 2018",Tennessee,"Coffee (county)",N/A,1,0,N/A
"August 29, 2018",Ohio,"Cincinnati (Mount Carmel)","4200 block of Beechmont Dr",1,0,N/A
"August 21, 2018",Arkansas,"Lake Village","1379 Sixteen Section Rd",1,0,N/A
"August 20, 2018",Michigan,"Muskegon (Muskegon Heights)","2500 block of Elwood St",1,0,N/A
"August 19, 2018",Tennessee,Clarksville,"Granny White Rd",1,0,N/A
"August 14, 2018",Washington,"Seattle (Burien)","12600 block of 12th Avenue South",1,0,N/A
"August 9, 2018",Ohio,Barberton,"27th Street Northwest",1,0,N/A
"August 3, 2018",Delaware,Wilmington,"1300 block of E 27th St",1,0,N/A
"July 28, 2018","North Carolina",Hickory,"1800 block of 13th Ave NE",1,0,N/A
"July 28, 2018",Missouri,"Florissant (Black Jack)","4700 block of Bristol Rock Rd",1,0,N/A
"July 27, 2018","North Carolina",Marion,"Reid St",1,0,N/A
"July 27, 2018",Arkansas,"Benton (Haskell)","Meadow Creek Ct",1,0,N/A
"July 26, 2018",Arkansas,"Cotton Plant (Maberry)","CR 794",1,0,N/A
