"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 28, 2018",Louisiana,Shreveport,"800 block of Pine Tree Ave",0,1,N/A
"December 25, 2018",Pennsylvania,Mars,"400 block of Conrad Dr",0,1,N/A
"December 12, 2018",Michigan,"Battle Creek","Meachem Ave and W Rittenhouse Ave",0,1,N/A
"December 7, 2018","New Mexico","Rio Rancho","23rd Ave",0,1,N/A
"December 4, 2018",Kansas,Riley,"7500 block of Crooked Creek Rd",0,1,N/A
"December 4, 2018",Texas,Humble,"4000 block of Wintergreen Dr",0,1,N/A
"December 4, 2018",Florida,Palmetto,"1200 17th St W",0,1,N/A
"December 3, 2018",Texas,"San Antonio","4100 block of Sunrise Crest",0,1,N/A
"November 30, 2018",Ohio,Marion,"800 block of Davids St",0,1,N/A
"November 24, 2018",Tennessee,Knoxville,"Cunningham Rd",0,1,N/A
"November 19, 2018",Florida,Ocala,"Teak Loop",0,1,N/A
"November 17, 2018",Wyoming,Gillette,N/A,0,1,N/A
"November 17, 2018",Oklahoma,Eufaula,N/A,0,1,N/A
"November 17, 2018",Florida,Deland,"900 block of Sherwood Dr",0,1,N/A
"November 14, 2018",Missouri,Fulton,"State Rd F",0,1,N/A
"November 10, 2018",Ohio,Akron,"180 E Exchange St",0,1,N/A
"November 4, 2018","New Jersey","Atlantic City","1400 block of Adams Ct",0,1,N/A
"November 3, 2018",Washington,Aberdeen,"1100 block of Arthur St",0,1,N/A
"October 30, 2018",Illinois,Rockford,"2200 block of 18th Ave",0,1,N/A
"October 29, 2018",Indiana,Indianapolis,"10900 block of Cedar Pine Dr",0,1,N/A
"October 29, 2018",Minnesota,Morgan,N/A,0,1,N/A
"October 26, 2018",Texas,Brazoria,"1000 block of County Rd 678",0,1,N/A
"October 18, 2018",Wisconsin,Milwaukee,"3600 block of N 11th St",0,0,N/A
"October 13, 2018",Florida,Bradenton,N/A,0,1,N/A
"October 13, 2018",Indiana,Indianapolis,"4000 block of Moline Dr",0,1,N/A
"October 10, 2018",Tennessee,Memphis,"Channel 3 Dr",0,1,N/A
"October 4, 2018",Tennessee,Henderson,"Cedarhurst Dr",0,1,N/A
"October 4, 2018",Texas,Houston,"Southminster Dr and Ashcroft Dr",0,1,N/A
"October 4, 2018",Texas,Houston,"Southminster Dr",0,1,N/A
"September 30, 2018",Wisconsin,"Clear Lake",N/A,0,1,N/A
"September 30, 2018",Ohio,Toledo,"3800 block of Hoiles Ave",0,1,N/A
"September 28, 2018",Georgia,Macon,"Hillcrest Ave",0,1,N/A
"September 28, 2018",Illinois,Rockford,"1000 block of Lincoln Ave",0,1,N/A
"September 25, 2018",Illinois,Springfield,N/A,0,1,N/A
"September 19, 2018",Wisconsin,"Madison (Monona)","Pflaum Rd and Monona Dr",0,1,N/A
"September 17, 2018",Florida,"Palm Bay","Emerald Rd",0,1,N/A
"September 10, 2018",California,"Los Angeles","Langdon Ave and Roscoe Blvd",0,1,N/A
"September 8, 2018",Arkansas,"North Little Rock","Poe St",0,1,N/A
"September 5, 2018","Rhode Island",Providence,"Westminster St and Fricker St",1,1,N/A
"September 3, 2018",Tennessee,Whitwell,"N Pine St",0,2,N/A
"August 31, 2018",Alabama,Montgomery,"3500 block of Princeton Rd",0,2,N/A
"August 29, 2018","South Carolina",Seneca,"Carradine Rd and Shiloh Rd",0,1,N/A
"August 27, 2018",Virginia,Norfolk,"100 block of Glendale Ave",0,1,N/A
"August 21, 2018",Tennessee,Covington,"Holmes Rd",0,1,N/A
"August 16, 2018",California,Stockton,"600 block of Astor Drive",0,1,N/A
"August 13, 2018",Texas,Nome,"US-90 and TX-326",0,1,N/A
"August 10, 2018",Texas,"San Antonio",N/A,0,1,N/A
"August 9, 2018","North Dakota",Williston,"2300 block of 17th Ave W",0,1,N/A
"August 8, 2018",Texas,"San Antonio","2300 block of W Salinas",0,1,N/A
"August 8, 2018","North Carolina","Forest City","175 Lakeview Dr",1,1,N/A
"August 3, 2018",Indiana,Indianapolis,"2400 block of Coyner Ave",0,1,N/A
"July 31, 2018",Texas,Tomball,"19435 Ambrosia Falls Dr",0,1,N/A
"July 30, 2018",Wisconsin,Milwaukee,"Burleigh and Holton",0,2,N/A
"July 26, 2018",Florida,Eustis,"40000 block of Sunset Pl",0,1,N/A
"July 25, 2018",Missouri,"Saint Louis","11100 block of Mammoth Dr",0,1,N/A
"July 25, 2018",Virginia,Chesapeake,"900 block of Paramont Ave",0,1,N/A
"July 24, 2018",Virginia,Lynchburg,"1800 block of Rivermont Ave",0,1,N/A
"July 22, 2018",Virginia,"Roanoke (Hollins)","5700 block of Oakland Blvd",0,1,N/A
"July 22, 2018",Maryland,Hagerstown,"17000 block of Hillsdale Ct",0,1,N/A
"July 22, 2018",Ohio,Cleveland,"3300 block of E 66th St",0,1,N/A
"July 19, 2018",Vermont,"Wells River","3334 US 302",0,1,N/A
"July 18, 2018",Louisiana,"New Orleans","2400 block of Urquhart St",0,1,N/A
"July 18, 2018",Texas,Premont,"CR 418",0,1,N/A
"July 15, 2018",Georgia,Lindale,"128 Doyle Rd",0,2,N/A
"July 14, 2018",Florida,"Lake Wales","Oleander Rd",0,2,N/A
"July 13, 2018","North Carolina",Charlotte,"1500 block of Burton Rd",0,1,N/A
"July 12, 2018",Georgia,Macon,"4500 block of Ayers Rd",0,1,N/A
"July 11, 2018",Louisiana,"New Orleans","2500 block of St Roch Ave",0,1,N/A
"July 11, 2018",Louisiana,"Lake Charles","Shattuck St",0,1,N/A
"July 11, 2018",Oregon,Umatilla,"Chenowith Ave",0,1,N/A
"July 9, 2018","South Carolina","Mount Pleasant","8400 block of North Highway 17",0,1,N/A
"July 9, 2018",Texas,"San Antonio","400 block of Chalmers",0,1,N/A
"July 8, 2018",Iowa,Waterloo,"80 block of Ricker St",0,1,N/A
"July 7, 2018",Kentucky,Shelbyville,N/A,0,1,N/A
"July 6, 2018",Ohio,Cleveland,"Nathaniel Rd and St Clair Ave",0,1,N/A
"July 5, 2018",Oklahoma,Tulsa,"5600 block of N Garrison Ct",0,1,N/A
"July 4, 2018",Tennessee,Morristown,"807 Cleveland Ave",0,1,N/A
"July 4, 2018",Connecticut,Hartford,"1620 Main St",0,1,N/A
"July 3, 2018",Georgia,Roswell,"1275 Upper Hembree Rd",1,1,N/A
"July 1, 2018",Wisconsin,Racine,N/A,0,1,N/A
"July 1, 2018",Utah,Tooele,"684 American Way",0,1,N/A
"June 30, 2018",Tennessee,Nashville,N/A,0,1,N/A
"June 30, 2018",Ohio,Shadyside,"200 W 36th St",0,1,N/A
"June 26, 2018",Nevada,"Las Vegas","7900 block of Terrace Way",0,1,N/A
"June 26, 2018",Colorado,"Colorado Springs","3800 block of Surrey Ln",0,1,N/A
"June 24, 2018",Oklahoma,"Oklahoma City","2500 block of NW 41st St",0,1,N/A
"June 22, 2018",Idaho,Cataldo,"S Robinson Creek Rd",0,1,N/A
"June 18, 2018",Illinois,"Mount Vernon","1100 block of S 24th St",0,1,N/A
