"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 28, 2018",Ohio,Cincinnati,"900 block of Burton Ave",0,1,N/A
"December 27, 2018",Tennessee,Nashville,"960 Blank St",0,1,N/A
"December 26, 2018",Florida,Pahokee,"300 block of Shirley Dr",0,1,N/A
"December 26, 2018",Texas,Houston,"1313 S Loop W",0,1,N/A
"December 24, 2018",Louisiana,Shreveport,"4201 Cadbury Ct",1,1,N/A
"December 24, 2018",Tennessee,Memphis,"Jackson Ave and N Evergreen St",0,1,N/A
"December 23, 2018",Mississippi,Jackson,"3200 block of Downing St",0,1,N/A
"December 23, 2018","South Carolina",Allendale,"1800 block of Razor Rd",0,1,N/A
"December 23, 2018",Delaware,Milford,"300 Aurora Pl",0,1,N/A
"December 20, 2018",Texas,Temple,"110 W Virginia Ave",3,1,N/A
"December 16, 2018","North Carolina",Charlotte,"10500 block of Glory Meadow Ct",0,2,N/A
"December 14, 2018",California,Fresno,"McKenzie St and 9th St",0,2,N/A
"December 13, 2018",Georgia,Savannah,"1500 block of Georgia Ave",0,1,N/A
"December 13, 2018",Louisiana,"Baton Rouge","650 N Ardenwood Dr",0,1,N/A
"December 13, 2018",Alabama,Birmingham,"609 Calahan Rd",0,1,N/A
"December 11, 2018",California,"San Francisco","Oakdale Ave and Baldwin Court",0,2,N/A
"December 11, 2018",Oklahoma,Tulsa,N/A,0,1,N/A
"December 10, 2018",Missouri,"Saint Louis","6700 block of Schofield Ave",0,2,N/A
"December 9, 2018",Texas,Sundown,"Fort Stanton Dr and Grey Hawk Ln",0,1,N/A
"December 8, 2018",Texas,Katy,"20000 Little Bighorn Dr",0,1,N/A
"December 8, 2018",Tennessee,Antioch,"Volunteer Dr",0,1,N/A
"December 8, 2018",Oklahoma,Tulsa,"1614 East Young St",0,1,N/A
"December 8, 2018",Michigan,Detroit,"13000 block of Flanders St",0,1,N/A
"December 8, 2018","New Mexico",Gallup,"915 Rte 66",0,1,N/A
"December 7, 2018",Pennsylvania,Scranton,"2200 block of Adams Ave",0,1,N/A
"December 5, 2018",Mississippi,Nettleton,"30013 Clay Hill Rd",0,1,N/A
"December 4, 2018",Kansas,Wichita,"E 21st St N and Main St",0,2,N/A
