"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 27, 2018",Massachusetts,Boston,"7 Dyer St",1,2,N/A
"December 26, 2018",Mississippi,Goodman,"91 Cedar Grove Dr",1,0,N/A
"December 26, 2018","New Jersey","Jersey City","209 Martin Luther King Dr",1,0,N/A
"December 26, 2018",Florida,Lakeland,"101 E Memorial Blvd",1,0,N/A
"December 26, 2018",Florida,"Lake City","200 block of SE Anastasia St",1,0,N/A
"December 24, 2018",California,Vacaville,"300 block of Bel Air Dr",1,0,N/A
"December 24, 2018",Alabama,Mobile,"100 block of Carondolet Ct W",1,0,N/A
"December 23, 2018",Louisiana,Independence,"12427 Labruzza Ln",2,0,N/A
"December 23, 2018",Florida,"Saint Petersburg","Central Ave and 58th St",1,0,N/A
"December 23, 2018",Minnesota,"Saint Paul","400 Arlington Ave E",1,0,N/A
"December 21, 2018",Virginia,Portsmouth,"50 block of Lexington Dr",1,0,N/A
"December 18, 2018","New York",Lawrence,"270 Lawrence Ave",1,0,N/A
"December 18, 2018",Florida,Orlando,"Waldo St and E Kaley Ave",1,0,N/A
"December 18, 2018",Tennessee,Nashville,"3220 Vailview Dr",1,1,N/A
"December 18, 2018",Washington,Renton,"4700 block of Smithers Ave S",1,0,N/A
"December 18, 2018",Connecticut,Bridgeport,"200 block of Willow St",1,0,N/A
"December 17, 2018","New York",Syracuse,"165 John St",1,0,N/A
"December 16, 2018",Texas,Houston,"5300 block of De Soto St",1,0,N/A
"December 16, 2018",Kansas,"Kansas City","2600 block of N 52nd St",1,1,N/A
"December 16, 2018",Kentucky,"Bowling Green","222 Moonlite Ave",1,0,N/A
"December 16, 2018",Ohio,Cleveland,"2610 Noble Rd",1,0,N/A
"December 16, 2018",Florida,"Fort Pierce","1600 Block of N 17th St",1,0,N/A
"December 16, 2018",Mississippi,Tunica,"Rosa Fort Dr and Hwy 61 N",1,0,N/A
"December 15, 2018",Texas,Dallas,"7529 Amber Dr",1,0,N/A
"December 15, 2018",Texas,Houston,"13000 block of Duncum St",1,0,N/A
"December 14, 2018","New York","Ballston Spa","723 Adams Circle",3,0,N/A
"December 13, 2018",Indiana,Richmond,"222 NW 7th St",1,0,N/A
"December 13, 2018","District of Columbia",Washington,"2726 Langston Pl SE",1,0,N/A
"December 11, 2018",Michigan,Roseville,"Pinehurst St",1,0,N/A
"December 11, 2018",Virginia,"Virginia Beach","2700 block of Elson Green Ave",1,0,N/A
"December 10, 2018",Oregon,Jefferson,"2200 Talbot Road SE",1,0,N/A
"December 10, 2018",Texas,Larue,"20000 block of Woodridge W",2,0,N/A
"December 10, 2018","District of Columbia",Washington,"800 block of Longfellow St NW",1,0,N/A
"December 10, 2018",Texas,"Fort Worth","6863 River Bluff Dr",1,0,N/A
"December 10, 2018",Maryland,Baltimore,"Pennsylvania Ave and Dolphin St",1,0,N/A
"December 9, 2018",Oklahoma,Lawton,"1200 block of SW Bishop Rd",1,0,N/A
"December 9, 2018",Oklahoma,Tulsa,"1130 E 23rd St",1,0,N/A
"December 8, 2018",Pennsylvania,"New Castle","400 block of N Liberty St",1,0,N/A
"December 7, 2018",Ohio,Columbus,"1300 block of Mount Vernon Ave",1,0,N/A
"December 7, 2018",Texas,Dallas,"2700 Palo Alto Dr",2,1,N/A
"December 6, 2018",Indiana,"Indianapolis (Lawrence)","8800 block of Rue Madeleine",1,0,N/A
"December 5, 2018",Texas,"San Antonio","Huron St and Vermont St",1,0,N/A
"December 5, 2018",Pennsylvania,Harrisburg,"1900 block of Bellevue Rd",1,0,N/A
"December 5, 2018",Connecticut,Hartford,"898 Park St",1,1,N/A
"December 4, 2018",Missouri,"Kansas City","11300 block of Corrington Ave",1,0,N/A
"December 4, 2018",Texas,Dallas,"1800 block of Bickers St",1,0,N/A
"December 4, 2018",California,Fremont,"34000 block of Torrington Place",1,1,N/A
"December 4, 2018",Washington,Tacoma,"3600 block of Marine View Dr",1,0,N/A
"December 3, 2018",Texas,Dallas,"10230 Harry Hines Blvd",1,0,N/A
"December 2, 2018","North Carolina","Spring Lake","100 block of Hillandale Dr",1,0,N/A
"December 2, 2018",Virginia,Richmond,"1900 block of Raven St",1,0,N/A
"December 2, 2018",Maryland,Baltimore,"2200 block of Christian St",1,0,N/A
"November 30, 2018",Washington,Edmonds,"7400 block of 208th St SW",1,0,N/A
"November 29, 2018",Indiana,Indianapolis,"2390 Woodglen Dr",1,0,N/A
"November 28, 2018",Illinois,Chicago,"7100 block of S Eggleston Ave",1,0,N/A
"November 28, 2018",Ohio,Akron,"262 Grand Ave",1,1,N/A
"November 28, 2018",Texas,Houston,"9239 Long Point Rd",1,0,N/A
"November 27, 2018",Ohio,Columbus,"4900 block of N High St",1,1,N/A
"November 25, 2018",Texas,Houston,"4500 block of Yale St",1,3,N/A
"November 24, 2018",Texas,Houston,"Witte Rd and Westview Dr",1,0,N/A
"November 24, 2018",Missouri,"Saint Louis (Normandy)","5835 Bermuda Dr",1,0,N/A
"November 23, 2018",Washington,Yakima,"1323 S 80th Ave",1,0,N/A
"November 22, 2018",Illinois,Chicago,"5800 block of N Talman Ave",1,0,N/A
"November 22, 2018",Texas,Dallas,"4901 Lomax Dr",1,0,N/A
"November 21, 2018",Nevada,"North Las Vegas","1100 block of Gary Carmena Ave",1,0,N/A
"November 21, 2018",Mississippi,Greenville,"1000 block of Alexander St",1,0,N/A
"November 20, 2018",Florida,"West Palm Beach","Booker Ave",1,0,N/A
"November 19, 2018",Georgia,Atlanta,"532 Cleveland Ave SW",1,0,N/A
"November 19, 2018",Pennsylvania,Philadelphia,"5100 block of Malcolm St",4,0,N/A
"November 19, 2018",Wisconsin,Milwaukee,"N 13th St and W Hadley St",1,0,N/A
"November 18, 2018","North Carolina","Winston Salem (Winston-salem)","5013 Eltha Dr",1,0,N/A
"November 18, 2018",Pennsylvania,Braddock,"909 Walnut St",1,0,N/A
"November 17, 2018",Florida,Alva,"Park Way and W Court Pl",2,1,N/A
"November 17, 2018",Texas,"Roanoke (Northlake)","1400 block of Tumbleweed Tr",1,0,N/A
"November 17, 2018",California,"Los Angeles","8655 S Belford Ave",2,0,N/A
"November 16, 2018","New York",Cohoes,"Central Ave and George St",1,0,N/A
"November 16, 2018",Michigan,"Mass City",N/A,1,0,N/A
"November 15, 2018",Tennessee,"Mount Juliet","200 block of NW Clearwater Drive",1,0,N/A
"November 13, 2018","New Jersey",Camden,"1500 block of Princess Ave",1,0,N/A
"November 13, 2018",Nevada,"North Las Vegas","W Centennial Pkwy and N Goldfield St",1,0,N/A
"November 13, 2018",Louisiana,Jackson,"2800 block of Charles Drive",1,0,N/A
"November 12, 2018",California,"Santa Ana","W 1st St and N Pacific Ave",1,0,N/A
"November 12, 2018",Illinois,Decatur,"1100 block of N Main St",1,0,N/A
"November 11, 2018",Georgia,"Stone Mountain","400 Ashley Pl",1,0,N/A
"November 10, 2018",Missouri,"Blue Springs","1200 block of SW Sunset St",1,2,N/A
"November 10, 2018",California,"West Covina","2121 Shadow Oak Dr",1,2,N/A
"November 8, 2018",Arkansas,"Forrest City","Rice St and Mann Ave",1,0,N/A
"November 8, 2018",Arizona,Tucson,"8201 E Stella Rd",3,0,N/A
"November 8, 2018",Texas,Houston,"3121 Buffalo Speedway",2,0,N/A
"November 8, 2018",Pennsylvania,Philadelphia,"1200 block of S 15th St",1,2,N/A
"November 7, 2018","North Carolina","Winston Salem (Winston-salem)","W 23rd St",1,0,N/A
"November 6, 2018",Missouri,Columbia,"5000 Clark Ln",1,1,N/A
"November 6, 2018",Pennsylvania,Allentown,"700 block of S 10th St",1,0,N/A
"November 6, 2018",Illinois,Matteson,"200 block of Willow Rd",1,0,N/A
"November 6, 2018",Texas,"San Antonio","10322 Cone Hill Dr",3,1,N/A
"November 5, 2018",Colorado,"Colorado Springs","4200 block of Deerfield Hills Rd",1,0,N/A
"November 4, 2018",Texas,Katy,"3859 Silverhawk Dr",3,0,N/A
"November 4, 2018",Missouri,"Saint Louis (University City)",N/A,1,0,N/A
"November 4, 2018",Illinois,Frankfort,"19900 block of Lily Ct",1,0,N/A
"November 3, 2018",Louisiana,"La Place (Laplace)","Sugar Pine St",1,0,N/A
"November 3, 2018","North Carolina",Goldsboro,"Banks Ave",1,0,N/A
"November 3, 2018",Texas,"Wichita Falls","2600 block of Hammon Ranch Rd",1,0,N/A
"November 2, 2018",Louisiana,Ragley,"Topsy Bel Rd",1,0,N/A
"November 2, 2018",Illinois,Chicago,"6800 block of S Wood St",1,0,N/A
"November 1, 2018",Oklahoma,Okmulgee,"S 130th St",2,1,N/A
"October 31, 2018",Texas,Houston,"Stuebner Airline Rd and Brightwood Dr",1,0,N/A
"October 31, 2018",Michigan,Detroit,"19000 block of Langholm St",1,3,N/A
"October 31, 2018",Michigan,Detroit,"12000 block of Duchess",1,0,N/A
"October 31, 2018",Maryland,Baltimore,"2200 block of Patapsco Ave",1,0,N/A
"October 30, 2018",Georgia,Macon,"Warpath Rd and Manson Rd",1,0,N/A
"October 30, 2018",Georgia,"Saint George","1418 Mary's River Bluff Road",3,0,N/A
"October 29, 2018","North Carolina",Matthews,"1810 Matthews Mint Hill Rd",1,0,N/A
"October 28, 2018",Georgia,Savannah,"1100 block of E 37th St",1,0,N/A
"October 28, 2018",Illinois,Chicago,"6200 block of S Maplewood Ave",1,1,N/A
"October 28, 2018","South Carolina",Columbia,"400 block of Deerwood St",1,0,N/A
"October 27, 2018",Illinois,"East Saint Louis (Cahokia)","329 Sauget Ave",1,0,N/A
"October 26, 2018","New Jersey","Jersey City","77 Brinkerhoff St",1,3,N/A
"October 25, 2018",Colorado,Pueblo,N/A,1,0,N/A
"October 24, 2018",Missouri,Mcgee,N/A,1,0,N/A
"October 24, 2018",Georgia,Covington,"Greenway Dr",1,1,N/A
"October 24, 2018",Arkansas,"North Little Rock","Greenway Dr",1,1,N/A
"October 23, 2018",Texas,Houston,"5610 Royal Palms St",1,0,N/A
"October 22, 2018",Mississippi,Jackson,"Booker T Washington St and Stonewall St",1,0,N/A
"October 21, 2018",Pennsylvania,York,"600 block of Linden Ave",1,0,N/A
"October 21, 2018",Florida,Jacksonville,"2000 block of W 45th St",1,0,N/A
"October 19, 2018",Ohio,Painesville,"595 Mentor Ave",1,0,N/A
"October 19, 2018",Tennessee,Centerville,"Bell Branch Rd",1,0,N/A
"October 18, 2018",Alabama,Huntsville,"102 Winchester Rd",1,0,N/A
"October 17, 2018",Washington,Spokane,"W Main Ave and N Washington St",1,0,N/A
"October 17, 2018",Mississippi,Greenville,"400 block of Robertshaw St",1,0,N/A
"October 16, 2018",Georgia,Moultrie,"1200 block of 12th Ave NW",1,0,N/A
"October 16, 2018",Alabama,Sumiton,"Earley St",1,2,N/A
"October 15, 2018",Louisiana,Violet,"3000 block of Daniel Dr",1,0,N/A
"October 15, 2018",Tennessee,Columbia,"1075 Carters Creek Pike",5,0,N/A
"October 14, 2018",Texas,Dallas,"10100 block of Walnut St",1,0,N/A
"October 14, 2018",California,"Porterville (Woodville)","16000 Rd 168",1,0,N/A
"October 14, 2018",Illinois,Chicago,"1700 block of W 85th St",1,0,N/A
"October 13, 2018",California,Stockton,"2300 block of Autumn Oak Place",1,0,N/A
"October 13, 2018",Illinois,Chicago,"1100 block of N Long Ave",1,0,N/A
"October 12, 2018",Utah,Orem,"81 N Paradise Dr",1,0,N/A
"October 10, 2018","New York",Syracuse,"Park St and John St",1,1,N/A
"October 10, 2018","North Carolina",Fayetteville,"1000 block of Wood Creek Dr",1,0,N/A
"October 10, 2018","North Carolina",Charlotte,"4416 South Tryon St",1,0,N/A
"October 10, 2018",Ohio,Bedford,"Gould Ave",1,0,N/A
"October 10, 2018",Ohio,"Cleveland (East Cleveland)",N/A,1,0,N/A
"October 9, 2018",California,Antioch,"111 E 18th St",1,0,N/A
"October 9, 2018",Tennessee,Nashville,"130 Nashboro Greens",1,0,N/A
"October 8, 2018",Indiana,Indianapolis,"900 block of Lake Nora Court S",1,0,N/A
"October 8, 2018",Illinois,Chicago,"3000 block of N Rutherford Ave",1,0,N/A
"October 7, 2018",Texas,Dallas,"4849 Haverwood Ln",1,0,N/A
"October 5, 2018",Missouri,"Kansas City (Raytown)","Sterling Ave and Blue Ridge Blvd",1,0,N/A
"October 5, 2018",Ohio,Columbus,"4175 Chesford Rd",1,2,N/A
"October 5, 2018",Oklahoma,Mcloud,"528 E Heritage Park Rd",1,0,N/A
"October 4, 2018",Pennsylvania,Philadelphia,"2500 block of Passyunk Ave",1,1,N/A
"October 3, 2018","New York",Syracuse,"300 block of Coolidge Ave",1,0,N/A
"October 3, 2018",Maryland,Waldorf,"11200 block of Wildmeadows St",1,0,N/A
"October 2, 2018",Virginia,Portsmouth,"1500 block of Jefferson St",1,2,N/A
"October 2, 2018",Ohio,Dayton,"Shoop Ave and Kammer Ave",1,0,N/A
"September 30, 2018",California,"Los Angeles","1200 block of W 106th St",1,1,N/A
"September 30, 2018",California,Compton,"200 block N Long Beach Blvd",1,3,N/A
"September 30, 2018",Georgia,Augusta,"2657 Barton Chapel Rd",1,0,N/A
"September 30, 2018",Illinois,Chicago,"5500 block of W Monroe St",1,0,N/A
"September 30, 2018","South Carolina",Varnville,"SC 3 and Pineland Rd",1,0,N/A
"September 30, 2018",Texas,"Humble (Atascocita)","6700 block of Atasca Dr",1,0,N/A
"September 28, 2018",California,Compton,"600 block of West Palmer Street",2,1,N/A
"September 28, 2018",Maryland,Baltimore,"1200 block of Druid Hill Ave",1,0,N/A
