"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 28, 2018",Louisiana,Shreveport,"800 block of Pine Tree Ave",0,1,N/A
"December 28, 2018","District of Columbia",Washington,"200 block of 54th St NE",0,2,N/A
"December 28, 2018",California,"Elk Grove","8142 Sheldon Rd",0,1,N/A
"December 27, 2018","New York",Rochester,"Jay St and W Broad St",0,1,N/A
"December 27, 2018",Alabama,Hobson,"Snow Cir",0,1,N/A
"December 27, 2018",Indiana,Indianapolis,"4800 block of E New York St",0,1,N/A
"December 27, 2018",Maryland,Baltimore,"1600 block of E Lanvale St",0,1,N/A
"December 27, 2018",Michigan,Detroit,"Petoskey Ave and Joy Rd",0,1,N/A
"December 26, 2018",Florida,Jacksonville,"2100 block of Brooklyn Rd",0,1,N/A
"December 26, 2018",Maryland,Baltimore,"800 block of Kevin Rd",0,1,N/A
"December 26, 2018",Ohio,Cleveland,"E 73rd St and Superior Ave",0,1,N/A
"December 26, 2018",Ohio,Cincinnati,"631 Northland Blvd",0,1,N/A
"December 26, 2018",Illinois,Chicago,"3800 block of S Princeton Ave",0,1,N/A
"December 26, 2018",Pennsylvania,Mckeesport,"1700-block of Manor Ave",0,1,N/A
"December 26, 2018",California,"Santa Clarita (Saugus)","Railroad Ave and Drayton St",0,3,N/A
"December 25, 2018",Illinois,Peoria,"600 block of Fayette St",0,2,N/A
"December 25, 2018",Pennsylvania,Mars,"400 block of Conrad Dr",0,1,N/A
"December 24, 2018",Louisiana,Lafayette,"5725 Johnston St",0,1,N/A
"December 24, 2018",Louisiana,Lutcher,"2176 Main St",2,2,N/A
"December 24, 2018",Virginia,Portsmouth,"700 block of Bismarck Myrick St",0,1,N/A
"December 24, 2018",Michigan,Detroit,"15600 block of Wabash St",0,1,N/A
"December 24, 2018",Wisconsin,Milwaukee,"W Florist Ave and N 109th St",0,2,N/A
"December 23, 2018",Louisiana,Vivian,"625 Park Dr",0,3,N/A
"December 23, 2018","North Carolina",Raleigh,"200 block of Merrill Dr",0,2,N/A
"December 23, 2018","New York","New York (Manhattan)","E 115th St and Lexington Ave",0,1,N/A
"December 23, 2018",Kentucky,Henderson,"Washington St and Alvasia St",0,2,N/A
"December 23, 2018",Pennsylvania,Philadelphia,"1900 block of 74th Ave",0,2,N/A
"December 23, 2018",Louisiana,"New Iberia","900 block of Oak St",0,1,N/A
"December 23, 2018",Delaware,Wilmington,"2300 block of West St",0,1,N/A
"December 23, 2018",Kansas,Shawnee,"14010 63rd Terrace",0,1,N/A
"December 23, 2018",Pennsylvania,Philadelphia,"Andrews Ave",0,1,N/A
"December 22, 2018",Illinois,Chicago,"700 block of N Trumbull Ave",0,1,N/A
"December 22, 2018",Illinois,Chicago,"5600 block of W Corcoran Pl",0,1,N/A
"December 22, 2018",Ohio,Columbus,"Beechwood Rd and Bolton Ave",0,1,N/A
